Movie Title,Year of Realease,Genre,Movie Rating,Duration,Gross (In Millions),Metascore,Votes
The Matrix Reloaded,2003,"Action,Sci-Fi",7.2,138,281.49 ,62,"592,924"
Up,2009,"Animation,Adventure,Comedy",8.3,96,293.00 ,88,"1,035,685"
Ne Zha zhi mo tong jiang shi,2019,"Animation,Action,Adventure",7.4,110,3.70 ,54,"7,676"
F9,2021,"Action,Crime,Thriller",5.2,143,173.20 ,58,"130,723"
Gravity,2013,"Drama,Sci-Fi,Thriller",7.7,91,274.09 ,96,"822,546"
Captain America: The Winter Soldier,2014,"Action,Adventure,Sci-Fi",7.8,136,259.77 ,70,"838,915"
The Twilight Saga: Breaking Dawn - Part 1,2011,"Adventure,Drama,Fantasy",4.9,117,281.29 ,45,"240,895"
The Twilight Saga: New Moon,2009,"Adventure,Drama,Fantasy",4.7,130,296.62 ,44,"284,729"
Dawn of the Planet of the Apes,2014,"Action,Adventure,Drama",7.6,130,208.55 ,79,"441,019"
Transformers,2007,"Action,Adventure,Sci-Fi",7,144,319.25 ,61,"636,038"
The Amazing Spider-Man 2,2014,"Action,Adventure,Sci-Fi",6.6,142,202.85 ,53,"495,780"
It,2017,Horror,7.3,135,327.48 ,69,"540,445"
Interstellar,2014,"Adventure,Drama,Sci-Fi",8.6,169,188.02 ,74,"1,795,113"
Liu lang di qiu,2019,"Action,Adventure,Sci-Fi",5.9,125,5.88 ,57,"30,681"
The Twilight Saga: Eclipse,2010,"Action,Adventure,Drama",5,124,300.53 ,58,"246,316"
Mission: Impossible - Ghost Protocol,2011,"Action,Thriller",7.4,132,209.40 ,73,"489,750"
The Hunger Games,2012,"Action,Adventure,Sci-Fi",7.2,142,408.01 ,68,"913,111"
Mission: Impossible - Rogue Nation,2015,"Action,Adventure,Thriller",7.4,131,195.04 ,75,"372,665"
Forrest Gump,1994,"Drama,Romance",8.8,142,330.25 ,82,"2,053,012"
Doctor Strange,2016,"Action,Adventure,Fantasy",7.5,115,232.64 ,72,"735,360"
The Sixth Sense,1999,"Drama,Mystery,Thriller",8.2,107,293.51 ,64,"985,833"
Man of Steel,2013,"Action,Adventure,Sci-Fi",7.1,143,291.05 ,55,"765,934"
Ice Age: The Meltdown,2006,"Animation,Adventure,Comedy",6.8,91,195.33 ,60,"278,310"
Kung Fu Panda 2,2011,"Animation,Action,Adventure",7.2,90,165.25 ,67,"284,471"
Justice League,2017,"Action,Adventure,Fantasy",6.1,120,229.02 ,45,"450,520"
Big Hero 6,2014,"Animation,Action,Adventure",7.8,102,222.53 ,74,"459,347"
Fantastic Beasts: The Crimes of Grindelwald,2018,"Adventure,Family,Fantasy",6.5,134,159.56 ,52,"281,427"
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Action,Adventure,Fantasy",8.1,143,305.41 ,63,"1,119,228"
Star Wars: Episode II - Attack of the Clones,2002,"Action,Adventure,Fantasy",6.6,142,310.68 ,54,"707,156"
The Hunger Games: Mockingjay - Part 2,2015,"Action,Adventure,Sci-Fi",6.5,137,281.72 ,65,"325,499"
Thor: The Dark World,2013,"Action,Adventure,Fantasy",6.8,112,206.36 ,54,"679,421"
Moana,2016,"Animation,Adventure,Comedy",7.6,107,248.76 ,81,"333,042"
Sing,2016,"Animation,Comedy,Family",7.1,108,270.40 ,59,"169,094"
Kung Fu Panda,2008,"Animation,Action,Adventure",7.6,92,215.43 ,74,"467,487"
The Incredibles,2004,"Animation,Action,Adventure",8,115,261.44 ,90,"731,233"
The Martian,2015,"Adventure,Drama,Sci-Fi",8,144,228.43 ,80,"846,681"
Hancock,2008,"Action,Drama,Fantasy",6.4,92,227.95 ,49,"481,308"
Fast Five,2011,"Action,Crime,Thriller",7.3,130,209.84 ,66,"380,863"
Men in Black 3,2012,"Action,Adventure,Comedy",6.8,106,179.02 ,58,"362,935"
Iron Man 2,2010,"Action,Adventure,Sci-Fi",6.9,124,312.43 ,57,"811,868"
Ratatouille,2007,"Animation,Adventure,Comedy",8.1,111,206.45 ,96,"728,597"
Ant-Man and the Wasp,2018,"Action,Adventure,Comedy",7,118,216.65 ,70,"397,307"
How to Train Your Dragon 2,2014,"Animation,Action,Adventure",7.8,102,177.00 ,77,"334,825"
Logan,2017,"Action,Drama,Sci-Fi",8.1,137,226.28 ,77,"754,661"
The Lost World: Jurassic Park,1997,"Action,Adventure,Sci-Fi",6.5,129,229.09 ,59,"417,508"
Casino Royale,2006,"Action,Adventure,Thriller",8,144,167.45 ,80,"654,957"
The Passion of the Christ,2004,Drama,7.2,127,370.78 ,47,"231,963"
Mamma Mia!,2008,"Comedy,Musical,Romance",6.5,108,144.13 ,51,"245,380"
Life of Pi,2012,"Adventure,Drama,Fantasy",7.9,127,124.99 ,79,"627,590"
Transformers: The Last Knight,2017,"Action,Adventure,Sci-Fi",5.2,154,130.17 ,27,"151,757"
Madagascar: Escape 2 Africa,2008,"Animation,Adventure,Comedy",6.6,89,180.01 ,61,"227,701"
War of the Worlds,2005,"Action,Adventure,Sci-Fi",6.5,116,234.28 ,73,"448,458"
Tangled,2010,"Animation,Adventure,Comedy",7.7,100,200.82 ,71,"450,996"
Quantum of Solace,2008,"Action,Adventure,Thriller",6.6,106,168.37 ,58,"448,087"
Men in Black,1997,"Action,Adventure,Comedy",7.3,98,250.69 ,71,"566,157"
The Croods,2013,"Animation,Adventure,Comedy",7.2,98,187.17 ,55,"214,963"
The Hangover Part II,2011,Comedy,6.4,102,254.46 ,44,"499,126"
Iron Man,2008,"Action,Adventure,Sci-Fi",7.9,126,318.41 ,79,"1,050,497"
I Am Legend,2007,"Action,Drama,Sci-Fi",7.2,101,256.39 ,65,"753,604"
Ready Player One,2018,"Action,Adventure,Sci-Fi",7.4,140,137.69 ,64,"432,747"
"Monsters, Inc.",2001,"Animation,Adventure,Comedy",8.1,92,289.92 ,79,"902,358"
Night at the Museum,2006,"Adventure,Comedy,Family",6.4,108,250.86 ,48,"347,133"
Fifty Shades of Grey,2015,"Drama,Romance,Thriller",4.1,125,166.17 ,46,"320,016"
Kong: Skull Island,2017,"Action,Adventure,Fantasy",6.6,118,168.05 ,62,"318,423"
The Smurfs,2011,"Animation,Adventure,Comedy",5.4,103,142.61 ,30,"90,823"
Cars 2,2011,"Animation,Adventure,Comedy",6.2,106,191.45 ,57,"189,937"
King Kong,2005,"Action,Adventure,Drama",7.2,187,218.08 ,81,"422,691"
Puss in Boots,2011,"Animation,Adventure,Comedy",6.6,90,149.26 ,65,"159,431"
Mei ren yu,2016,"Comedy,Drama,Fantasy",6.2,94,3.23 ,69,"9,374"
Armageddon,1998,"Action,Adventure,Sci-Fi",6.7,151,201.57 ,42,"425,532"
The Day After Tomorrow,2004,"Action,Adventure,Sci-Fi",6.4,124,186.74 ,47,"447,826"
Ted,2012,Comedy,6.9,106,218.82 ,62,"612,897"
American Sniper,2014,"Action,Biography,Drama",7.3,133,350.13 ,72,"486,028"
Mission: Impossible II,2000,"Action,Adventure,Thriller",6.1,123,215.41 ,59,"342,535"
Tang ren jie tan an 2,2018,"Action,Comedy,Mystery",6.1,121,1.98 ,48,"2,693"
X-Men: Apocalypse,2016,"Action,Adventure,Sci-Fi",6.9,144,155.44 ,52,"433,669"
Sherlock Holmes: A Game of Shadows,2011,"Action,Adventure,Mystery",7.4,129,186.85 ,48,"453,910"
Despicable Me,2010,"Animation,Adventure,Comedy",7.6,95,251.51 ,72,"545,549"
Cinderella,2015,"Adventure,Drama,Family",6.9,105,201.15 ,67,"177,525"
Madagascar,2005,"Animation,Adventure,Comedy",6.9,86,193.60 ,57,"402,909"
World War Z,2013,"Action,Adventure,Horror",7,116,202.36 ,63,"662,743"
Brave,2012,"Animation,Adventure,Comedy",7.1,93,237.28 ,69,"410,413"
The Empire Strikes Back,1980,"Action,Adventure,Fantasy",8.7,124,290.48 ,82,"1,280,836"
The Simpsons Movie,2007,"Animation,Adventure,Comedy",7.3,87,183.14 ,80,"330,377"
The Revenant,2015,"Action,Adventure,Drama",8,156,183.64 ,76,"796,927"
The Meg,2018,"Action,Horror,Sci-Fi",5.6,113,143.01 ,46,"171,428"
Ralph Breaks the Internet,2018,"Animation,Adventure,Comedy",7,112,201.09 ,71,"160,624"
